lat,lon,east_m,north_m
10.8533093800,106.7715189950,0.634,5.790
10.8532914492,106.7715170220,0.418,3.807
10.8532735863,106.7715144830,0.141,1.831
10.8532558520,106.7715121203,-0.118,-0.131
10.8532379367,106.7715101849,-0.329,-2.112
10.8532199777,106.7715085781,-0.505,-4.099
10.8532020168,106.7715069553,-0.682,-6.086
10.8531841962,106.7715043049,-0.972,-8.057
10.8531663137,106.7715021429,-1.209,-10.035
10.8531483990,106.7715001186,-1.430,-12.017
10.8531304682,106.7714980289,-1.658,-14.000
10.8531125953,106.7714958052,-1.902,-15.977
10.8530947332,106.7714931883,-2.188,-17.953
10.8530768787,106.7714908698,-2.441,-19.928
10.8530589231,106.7714893697,-2.605,-21.914
10.8530410567,106.7714874096,-2.820,-23.890
10.8530231781,106.7714852357,-3.057,-25.868
10.8530053595,106.7714825862,-3.347,-27.839
10.8529875925,106.7714798365,-3.648,-29.804
10.8529698497,106.7714786900,-3.773,-31.767
10.8529520546,106.7714769064,-3.968,-33.735
10.8529341415,106.7714753833,-4.135,-35.716
10.8529161981,106.7714734218,-4.349,-37.701
10.8528984017,106.7714705548,-4.663,-39.670
10.8528806310,106.7714678778,-4.955,-41.636
10.8528627114,106.7714659906,-5.162,-43.618
10.8528447573,106.7714640342,-5.376,-45.604
10.8528268176,106.7714620381,-5.594,-47.588
10.8528089160,106.7714598990,-5.828,-49.568
10.8527910869,106.7714573333,-6.108,-51.540
10.8527731958,106.7714550687,-6.356,-53.519
10.8527553072,106.7714527347,-6.611,-55.498
10.8527373510,106.7714508253,-6.820,-57.484
10.8527194056,106.7714488061,-7.041,-59.469
10.8527013740,106.7714476220,-7.170,-61.464
10.8526833797,106.7714460333,-7.344,-63.454
10.8526653755,106.7714447122,-7.488,-65.446
10.8526475422,106.7714421891,-7.764,-67.419
10.8526298846,106.7714390591,-8.106,-69.372
10.8526119726,106.7714370755,-8.323,-71.353
10.8525939980,106.7714354339,-8.503,-73.341
10.8525760260,106.7714336453,-8.698,-75.329
10.8525580825,106.7714318504,-8.895,-77.314
10.8525401871,106.7714297243,-9.127,-79.294
10.8525222344,106.7714276585,-9.353,-81.279
10.8525042761,106.7714256793,-9.569,-83.266
